beneficiary_id,beneficiary_code,full_name,gender,age,country,status
1,BEN000001,Diamond Ramos,Female,65,Somalia,Refugee
2,BEN000002,Matthew Werner,Male,67,Tanzania,IDP
3,BEN000003,Susan Hull,Female,15,Sudan,Refugee
4,BEN000004,Cory Cruz,Female,12,Kenya,Host Community
5,BEN000005,Jessica Callahan,Female,11,South Sudan,IDP
6,BEN000006,Kristina Brooks,Female,79,Somalia,Refugee
7,BEN000007,Alex Delacruz,Male,17,Ethiopia,Host Community
8,BEN000008,Jessica Huang,Female,53,Sudan,IDP
9,BEN000009,Kevin Douglas,Female,14,Rwanda,Refugee
10,BEN000010,John Erickson,Female,80,Dr Congo,IDP
12,BEN000012,Taylor Sims,Female,78,Uganda,Refugee
13,BEN000013,Michaela Gonzalez,Male,33,Uganda,IDP
14,BEN000014,Melissa Hunt,Male,79,Burundi,Host Community
15,BEN000015,Charles Coleman,Male,63,Ethiopia,Refugee
16,BEN000016,Tyler Clark,Female,53,Kenya,IDP
17,BEN000017,Norma Greer,Male,28,Somalia,Refugee
18,BEN000018,Justin Garcia,Male,21,Kenya,Refugee
19,BEN000019,Shirley Kirk,Male,19,Kenya,IDP
20,BEN000020,James Mcclure,Female,46,Rwanda,IDP
21,BEN000021,Jeremy Frost,Female,13,Tanzania,IDP
22,BEN000022,Randy Kim,Female,26,Uganda,Host Community
23,BEN000023,Anthony Sanchez,Female,1,Uganda,Host Community
24,BEN000024,Michael Chavez,Male,10,Uganda,Refugee
25,BEN000025,Brittany Harvey,Female,56,Kenya,Refugee
26,BEN000026,Deanna Tucker,Female,14,Sudan,Host Community
27,BEN000027,Brittany Ingram,Male,49,South Sudan,Refugee
28,BEN000028,Henry Yang,Male,22,Rwanda,Refugee
29,BEN000029,Sarah Williams,Male,22,Tanzania,IDP
30,BEN000030,Sean Quinn,Male,73,Burundi,Host Community
31,BEN000031,Jenny Edwards,Female,45,Kenya,IDP
32,BEN000032,Brittany Huff,Female,3,Tanzania,Refugee
33,BEN000033,Tracey Bird MD,Female,15,Tanzania,IDP
34,BEN000034,Denise Gallagher,Male,24,Rwanda,Host Community
35,BEN000035,Daniel Heath,Male,58,Burundi,Host Community
36,BEN000036,John Floyd,Female,79,Burundi,Host Community
37,BEN000037,Chase Reyes,Female,44,Tanzania,Host Community
38,BEN000038,Kyle Yoder,Male,38,Rwanda,IDP
39,BEN000039,Michelle White,Male,76,Tanzania,Host Community
40,BEN000040,Tony Odonnell DDS,Female,26,Ethiopia,Host Community
41,BEN000041,Shannon Booth,Male,69,Rwanda,Refugee
42,BEN000042,Jillian Martinez,Female,78,Somalia,Refugee
43,BEN000043,Ashley Moore,Female,27,Ethiopia,IDP
44,BEN000044,Daniel Perry,Male,56,Kenya,Host Community
45,BEN000045,Cindy Martinez,Male,61,Somalia,Refugee
46,BEN000046,Dennis Chan,Male,57,Dr Congo,Refugee
47,BEN000047,Janet Jordan,Male,10,Kenya,Refugee
48,BEN000048,Danielle Blackburn,Male,14,Tanzania,Host Community
49,BEN000049,Eric Morris,Female,14,Sudan,Refugee
50,BEN000050,Amanda Hudson,Female,6,Sudan,IDP
51,BEN000051,Charles Pennington,Female,8,Kenya,Host Community
52,BEN000052,Kelly Schmidt,Male,75,Rwanda,IDP
53,BEN000053,Jennifer Johnson,Female,63,Somalia,Host Community
54,BEN000054,Cheyenne Stanton,Female,13,Rwanda,IDP
55,BEN000055,Brandon Johnson,Female,37,Tanzania,IDP
56,BEN000056,David Vargas,Female,43,Kenya,Refugee
57,BEN000057,Donna Jennings,Female,71,Burundi,Refugee
58,BEN000058,David Knight,Female,28,Burundi,IDP
59,BEN000059,Rachael Kim,Female,19,Uganda,Host Community
60,BEN000060,Gregory Martin,Female,51,Sudan,IDP
61,BEN000061,Gregory Knight,Male,80,Burundi,Host Community
62,BEN000062,Michele Armstrong,Male,67,Dr Congo,IDP
63,BEN000063,Olivia Contreras,Female,44,South Sudan,Refugee
64,BEN000064,Christopher Copeland,Female,43,Sudan,Host Community
65,BEN000065,Mrs. Angela Carson DVM,Female,54,Somalia,Refugee
66,BEN000066,Robin Harris,Female,33,Kenya,Refugee
67,BEN000067,Alan Frazier,Male,79,Burundi,Host Community
68,BEN000068,Matthew Bailey,Male,44,Uganda,IDP
69,BEN000069,Jessica Patrick,Male,37,Kenya,IDP
70,BEN000070,Jessica Ellis,Female,53,Sudan,Refugee
71,BEN000071,Kristin Nixon,Female,18,South Sudan,IDP
72,BEN000072,Danielle Holmes,Male,16,Ethiopia,Host Community
73,BEN000073,Lee Nash,Female,72,Ethiopia,IDP
74,BEN000074,Patrick Waters,Female,36,Kenya,IDP
75,BEN000075,Christopher Coleman,Female,65,Uganda,IDP
76,BEN000076,Brandon Thomas,Female,71,Kenya,Host Community
77,BEN000077,Peggy Smith,Male,19,Rwanda,IDP
78,BEN000078,Tom Hoover,Female,21,Dr Congo,Host Community
79,BEN000079,Danny Hartman,Female,6,Burundi,IDP
80,BEN000080,Megan Johnson,Male,1,Dr Congo,IDP
81,BEN000081,Kayla Cobb,Female,59,South Sudan,Refugee
82,BEN000082,James Atkins,Female,63,Uganda,Refugee
83,BEN000083,Ms. Melissa Guzman,Female,21,Dr Congo,Refugee
84,BEN000084,Alex Parsons,Female,11,Dr Congo,Refugee
85,BEN000085,Christopher Marshall,Male,24,Rwanda,Host Community
86,BEN000086,Jeanette Williams,Female,66,Tanzania,Host Community
87,BEN000087,Mrs. Daisy Acevedo,Female,36,Dr Congo,Refugee
88,BEN000088,Kristen Wells,Male,75,Somalia,IDP
89,BEN000089,Theodore Hughes,Male,53,Kenya,Refugee
90,BEN000090,Timothy Watson,Male,60,Ethiopia,Refugee
91,BEN000091,Tom Riggs,Male,47,Kenya,Refugee
92,BEN000092,Brett Hicks,Female,21,Kenya,Refugee
93,BEN000093,George Cooper,Male,77,Kenya,Refugee
94,BEN000094,Bryan Perez,Female,68,Ethiopia,IDP
95,BEN000095,Jane Thomas,Male,67,Kenya,Refugee
96,BEN000096,Gregory Paul,Male,8,South Sudan,IDP
97,BEN000097,Justin Wallace,Male,74,Uganda,IDP
98,BEN000098,Michael Conway,Female,59,Sudan,Refugee
99,BEN000099,Tiffany Jones,Male,2,Dr Congo,IDP
100,BEN000100,Aaron Collins,Male,50,Burundi,Host Community
101,BEN000101,Ryan Spencer,Female,21,Kenya,Refugee
102,BEN000102,Charles Pierce,Male,31,Tanzania,Refugee
103,BEN000103,Kenneth Johnson,Female,27,Burundi,Refugee
104,BEN000104,Ethan Davis,Female,5,Somalia,IDP
105,BEN000105,Carrie Schmidt,Female,69,Dr Congo,IDP
106,BEN000106,Crystal Rose,Male,74,Kenya,IDP
107,BEN000107,William Wilson,Female,31,Sudan,Host Community
108,BEN000108,Crystal Oneill,Male,51,Dr Congo,IDP
109,BEN000109,David Vincent,Male,35,Tanzania,IDP
110,BEN000110,Bryan Phelps,Male,1,Rwanda,Refugee
111,BEN000111,John Castillo,Male,35,Rwanda,IDP
112,BEN000112,Tony Rhodes,Male,15,Rwanda,Refugee
113,BEN000113,Kelly Thornton,Female,54,Uganda,Refugee
114,BEN000114,Eric Baldwin,Male,6,Tanzania,IDP
115,BEN000115,Charles Reed,Female,71,Burundi,Refugee
116,BEN000116,Norma Rich,Female,54,Tanzania,Host Community
117,BEN000117,Michael Russell,Female,66,Somalia,Host Community
118,BEN000118,Gerald Tyler MD,Male,28,Tanzania,Host Community
119,BEN000119,Stuart Owen,Female,6,Somalia,IDP
120,BEN000120,William Wright,Female,14,Rwanda,Refugee
121,BEN000121,Amanda Dawson,Female,9,Dr Congo,Host Community
122,BEN000122,Kathy Hatfield,Male,78,Tanzania,Refugee
123,BEN000123,Kimberly Hill,Male,47,Kenya,IDP
124,BEN000124,Terrence Sanders,Female,2,Dr Congo,IDP
125,BEN000125,Emily Johnson,Male,16,Burundi,IDP
126,BEN000126,Sarah Cross,Male,50,Sudan,Host Community
127,BEN000127,Brandy Quinn,Female,3,Ethiopia,IDP
128,BEN000128,Kathleen Allen DVM,Male,66,Sudan,Refugee
129,BEN000129,Trevor Martin,Male,40,Sudan,IDP
130,BEN000130,Cynthia Silva,Male,9,Dr Congo,IDP
131,BEN000131,Emma Williams,Female,59,Somalia,Host Community
132,BEN000132,Robert Bowen,Female,23,Ethiopia,IDP
133,BEN000133,Heather Hamilton,Female,41,Rwanda,Host Community
134,BEN000134,Timothy Adams,Male,73,South Sudan,Host Community
135,BEN000135,Jennifer Humphrey,Male,34,Ethiopia,Host Community
136,BEN000136,Shawn Kelley,Male,70,Somalia,IDP
137,BEN000137,Curtis Cook,Male,10,South Sudan,Refugee
138,BEN000138,Ashley Taylor,Female,22,Rwanda,Refugee
139,BEN000139,Megan Robertson,Female,17,Sudan,Host Community
140,BEN000140,Adam Wallace,Male,36,South Sudan,Refugee
141,BEN000141,Jeffrey Allen,Male,53,Uganda,Refugee
142,BEN000142,Craig Nguyen,Female,31,South Sudan,Host Community
143,BEN000143,Becky Lee,Female,57,Sudan,Host Community
144,BEN000144,Kiara Francis,Female,33,Burundi,Refugee
145,BEN000145,Martin Johnson,Male,79,Uganda,Host Community
146,BEN000146,Kenneth Mooney,Male,8,Burundi,Host Community
147,BEN000147,Jill Smith,Male,13,Rwanda,IDP
148,BEN000148,Miranda Harrison,Female,19,Tanzania,IDP
149,BEN000149,Samuel King,Female,79,Rwanda,IDP
150,BEN000150,Erin Beard,Male,23,Somalia,Refugee
151,BEN000151,Jeremy Summers,Male,65,Uganda,Refugee
152,BEN000152,Gary Burnett,Female,39,Tanzania,Refugee
153,BEN000153,Darius Raymond,Male,40,Kenya,Host Community
154,BEN000154,Samantha Barrera,Female,77,Dr Congo,Host Community
155,BEN000155,Jamie Ward,Female,77,Burundi,Host Community
156,BEN000156,Jeanne Howell,Female,18,Rwanda,Refugee
157,BEN000157,Justin Long,Female,20,Ethiopia,Host Community
158,BEN000158,Dawn Bradley,Female,34,Burundi,Host Community
159,BEN000159,Alicia Jones,Female,47,Somalia,Refugee
160,BEN000160,Teresa Thomas,Male,19,South Sudan,Refugee
161,BEN000161,Taylor Kaufman,Female,1,Tanzania,Host Community
162,BEN000162,Margaret Neal,Female,28,Ethiopia,Refugee
163,BEN000163,Ashley Maldonado,Female,59,Dr Congo,Refugee
164,BEN000164,Katherine Duran,Male,20,Tanzania,Host Community
165,BEN000165,Carol Park,Female,6,Somalia,Host Community
166,BEN000166,Kimberly Johnson,Female,1,South Sudan,Refugee
167,BEN000167,Elizabeth Olsen,Female,1,Dr Congo,Host Community
168,BEN000168,Ryan Lopez,Male,52,Sudan,IDP
169,BEN000169,Leah Hernandez,Female,29,Kenya,Refugee
170,BEN000170,James Cross DDS,Female,75,Ethiopia,IDP
171,BEN000171,Chad Torres,Female,7,Kenya,Refugee
172,BEN000172,Steven Bruce,Male,17,Rwanda,Host Community
173,BEN000173,Ryan Walton,Male,37,Tanzania,Host Community
174,BEN000174,Maxwell Austin,Female,35,South Sudan,Host Community
175,BEN000175,Veronica Rivera,Female,7,Kenya,Host Community
176,BEN000176,Kristen Wells,Male,42,Ethiopia,Refugee
177,BEN000177,Marissa Bates,Female,74,South Sudan,Refugee
178,BEN000178,Ann Miller,Female,46,Ethiopia,IDP
179,BEN000179,Megan Doyle,Female,3,South Sudan,Refugee
180,BEN000180,Samantha Walker,Female,62,Kenya,Host Community
181,BEN000181,Mary Webster,Female,40,Sudan,Host Community
182,BEN000182,Gregory Crawford,Female,70,Tanzania,Host Community
183,BEN000183,Nicholas Mccarthy,Female,49,Tanzania,Refugee
184,BEN000184,Mr. Daniel Holmes,Female,9,Ethiopia,Host Community
185,BEN000185,Kristy Thompson,Female,63,Tanzania,Refugee
186,BEN000186,Natasha Bauer,Female,16,South Sudan,Refugee
187,BEN000187,Gabriel Silva,Male,31,Somalia,Refugee
188,BEN000188,Jake Gordon,Male,32,Somalia,IDP
189,BEN000189,Jose Young,Male,25,Kenya,Host Community
190,BEN000190,John Manning,Male,17,Ethiopia,Refugee
191,BEN000191,Christy Gregory,Female,50,Uganda,IDP
192,BEN000192,Brenda Day,Female,7,Burundi,Host Community
193,BEN000193,Mrs. Carrie Cameron,Male,61,Uganda,Refugee
194,BEN000194,John Terrell,Female,1,South Sudan,IDP
195,BEN000195,Thomas Hardin,Female,74,Rwanda,Refugee
196,BEN000196,Joshua Chambers,Male,71,South Sudan,Host Community
197,BEN000197,Robin Baker,Female,58,Sudan,Refugee
198,BEN000198,Joseph Massey,Male,49,Burundi,Host Community
199,BEN000199,Russell Snow,Male,80,South Sudan,Host Community
200,BEN000200,Jamie Huynh,Female,60,Rwanda,Host Community
201,BEN000201,Terri Berry,Female,42,Uganda,IDP
202,BEN000202,Jennifer Parsons,Female,33,Somalia,Refugee
203,BEN000203,Shawn Luna,Female,79,Somalia,Host Community
204,BEN000204,William Avila,Female,9,Ethiopia,IDP
205,BEN000205,Katherine Zavala,Female,75,Tanzania,Host Community
206,BEN000206,Joshua Hurley,Male,75,Rwanda,IDP
207,BEN000207,Christopher Russell,Female,57,Ethiopia,IDP
208,BEN000208,Pam Haynes,Male,57,Sudan,Host Community
209,BEN000209,Jason Rose,Female,6,South Sudan,IDP
210,BEN000210,Cynthia Brooks,Male,21,South Sudan,IDP
211,BEN000211,Timothy Shannon,Female,39,Dr Congo,Refugee
212,BEN000212,Craig Nicholson,Male,11,Tanzania,Refugee
213,BEN000213,Shawn Case,Female,33,Sudan,Host Community
214,BEN000214,Jaime Rogers,Male,64,Ethiopia,Refugee
215,BEN000215,James Cochran,Male,42,Uganda,Host Community
216,BEN000216,Linda Chavez,Male,8,South Sudan,IDP
